"","Asparagus.acutifolius","Crataegus.monogyna","Daphne.gnidium","Lonicera.periclymenum","Myrtus.communis","Olea.europaea","Osyris.alba","Phillyrea.angustifolia","Pistacia.lentiscus","Pyrus.bourgaeana","Rhamnus.lycioides","Rubia.pregrina","Rubus.ulmifolius","Smilax.aspera","Tamus.communis"
"Alectoris.rufa",0,0,0,0,0,0.00319488817891374,0,0,0.00958466453674121,0,0,0,0,0,0
"Carduelis.chloris",0,0,0,0,0,0.036741214057508,0,0,0.357827476038339,0,0,0,0,0,0
"Coccothraustes.coccothraustes",0,0,0,0,0,0.00479233226837061,0,0,0,0,0,0,0,0,0
"Columba.palumbus",0,0,0,0,0,0.0287539936102236,0,0,0.0559105431309904,0,0,0,0,0,0
"Corvus.corax",0,0,0,0,0,0,0,0,0,0.00319488817891374,0,0,0,0,0
"Corvus.monedula",0,0,0,0,0,0.00479233226837061,0,0,0,0.00319488817891374,0,0,0,0,0
"Cyanopica.cyanus",0,0.012779552715655,0,0,0.0225970280548174,0.0670926517571885,0,0,0.223506056304016,0.103833865814696,0.0143769968051118,0,0.0128959581168656,0,0.00116405401210616
"Emberiza.calandra",0,0,0,0,0,0,0,0,0.0335463258785942,0,0,0,0,0,0
"Erithacus.rubecula",0.000504423405246003,0,0.000194009002017694,0,0.0102436753065342,0.0153204508050196,0,7.76036008070775e-05,0.309437044140829,0,0.0012028558125097,0,0.000194009002017694,0.00031041440322831,0
"Ficedula.hypoleuca",0,0,0,7.76036008070775e-05,0,0,0,0.000271612602824771,0.0190648245439611,0,0.00062082880645662,0,0,3.88018004035387e-05,0
"Fringilla.coelebs",0,0,0,0,0,0.00479233226837061,0,0,0.0511182108626198,0,0,0,0,0,0
"Luscinia.megarhynchos",0,0,0,0,0,0,0,0,0.00192068911997517,0,0.000252211702623002,0,7.76036008070775e-05,0,0
"Muscicapa.striata",0,0,0,0,0,0,0,0,0.00578803853303905,0,0.000407418904237157,0,7.76036008070775e-05,0,0
"Parus.caeruleus",0,0,0,0,0,0.000426819804438926,0,0,0.000407418904237157,0,0,0,0,0,0
"Parus.major",0,0,0.00159744408945687,0,0,0,0,0,0.00358290618294913,0,0,0,0,0,0
"Passer.domesticus",0,0,0,0,0,0,0,0,0.023961661341853,0,0,0,0,0,0
"Phoenicurus.ochruros",0,0,0,0,0,0,0,0,0.00915127445939051,0,0,0,0,0,0
"Phoenicurus.phoenicurus",0,0,1.94009002017694e-05,0,0,0,0,0,0.0162717147519734,0,0.000194009002017694,0,0.000931243209684929,0,0
"Phylloscopus.collybita",0,0,0,0,0,5.82027006053081e-05,0,3.88018004035387e-05,0.00327249177972082,0,0,0,0,0,0
"Phylloscopus.trochilus",0,0,1.94009002017694e-05,0,0,0,0,0,0,0,0,0,3.88018004035387e-05,0,0
"Regulus.ignicapilla",0,0,0,0,0,0,0,0,1.94009002017694e-05,0,0,0,0,0,0
"Saxicola.rubetra",0,0,0,0,0,0,0,0.00159744408945687,0.00319488817891374,0,0,0,0,0,0
"Saxicola.rubicola",0,0,0,0,0,0,0,0,0.00481173316857238,0,0,0,0,0,0
"Sturnus.unicolor",0,0,0,0,0,0.00798722044728434,0,0,0.0750798722044728,0,0,0,0,0,0
"Sturnus.vulgaris",0,0,0,0,0,0,0,0,0.0255591054313099,0,0,0,0,0,0
"Sylvia.atricapilla",0.00882114923742685,0.00190785849268518,0.0305435871904968,0.000582027006053081,0.0430915687778648,0.225501249839462,0.000232810802421232,0.0344171969579389,1,0.00350530258214205,0.00838118888716437,0.00827135375886553,0.00256091882663356,0.0137686887074116,0
"Sylvia.borin",0.000116405401210616,0,0.0249304666778072,0.000892441409281391,0,0.00029101350302654,0.000465621604842465,0.0466529046308771,0.175160376642754,0,0.0328651249417973,0.0108839050131926,0.0339534348642978,0.00415179264317864,0.000776036008070775
"Sylvia.cantillans",0,0,0.000970045010088468,0,1.94009002017694e-05,0,0,0.00131926121372032,0.00959061497258585,0,0.00256748909954534,0,0.00673899256145932,0,0
"Sylvia.communis",0,0,0.000426819804438926,0,0,0,0,0.0037315431116515,0.0130054833266308,0,0.00482456379586236,0,0.00346650078173851,0,0
"Sylvia.conspicillata",0,0,0,0,0,0,0,0,0,0,0,0,1.94009002017694e-05,0,0
"Sylvia.hortensis",0,0,0,0,0,0,0,0.00116405401210616,0.00339515753530964,0,0,0,0.000155207201614155,1.94009002017694e-05,0
"Sylvia.melanocephala",0.00268389450075595,0,0.0109877897056468,0.000271612602824771,0.000776036008070775,0.00264509270035241,0.000155207201614155,0.0170023786867289,0.378063296769558,0,0.025693672058588,0.00319488817891374,0.00608562230897737,0.000795436908272544,5.82027006053081e-05
"Sylvia.undata",0,0,0,0,0.000116405401210616,0,0,0,0.00473381964923172,0,0,0,0,0,0
"Turdus.iliacus",0,0,0,0,0,0.0226358298552209,0,0,0.0207667731629393,0,0,0,0,0,0
"Turdus.merula",1.94009002017694e-05,0.00833643665091619,0.000776036008070775,0.00360230708315089,0.00836866817840795,0.0963244777624774,0.00798722044728434,0.0190519939166711,0.183017679240764,0.00638977635782748,0.0102183239704878,1.94009002017694e-05,0.0435834714743544,0.00362170798335266,0.00271612602824771
"Turdus.philomelos",0,0.00560717007684492,0,0,0.00946168886261882,0.160998587267357,0,7.76036008070775e-05,0.185749425163104,0,0,0,0,0,0
"Turdus.viscivorus",0,0,0,0,0,0.00159744408945687,0,0,0,0,0,0,0,0,0
