ind,crop,canopy_cover,canopy_height_10m,neigh_intra_fruiting_20m,neigh_big_tree_20m,neigh_cecropia_10m,se_cam_h,fruit_type,fruit_color,seeds_per_fruit
18-0001,607,88.04,12,2,0,0,432,drupe,purple,1
18-0008,900,91.16,14,2,0,1,432,drupe,purple,1
18-0010,67,94.54,18,3,0,0,528,drupe,purple,1
18-0013,75,88.04,18,2,0,2,528,drupe,purple,1
18-0020,790,97.66,30,4,1,2,480,drupe,purple,1
18-0021,410,97.66,30,4,1,2,384,drupe,purple,1
18-0022,598,97.14,23,0,1,1,1248,drupe,purple,1
18-0027,75,93.76,20,0,0,0,384,drupe,purple,1
18-0035,52,98.18,15,1,0,1,528,drupe,purple,1
18-0053,627,94.8,35,0,0,2,456,drupe,purple,1
18-0063,603,95.84,32,0,1,5,432,drupe,purple,1
18-0064,110,97.66,36,4,2,2,432,drupe,purple,1
18-0065,186,95.32,24,10,0,1,432,drupe,purple,1
18-0066,70,95.32,36,9,1,2,432,drupe,purple,1
18-0067,120,96.36,36,7,1,4,432,drupe,purple,1
18-0069,50,95.32,21,5,0,3,432,drupe,purple,1
18-0070,41,97.4,21,0,2,2,720,drupe,purple,1
18-0071,50,96.88,38,0,3,0,192,drupe,purple,1
18-0072,50,99.48,30,0,3,1,528,drupe,purple,1
18-0073,50,97.92,45,0,3,0,816,drupe,purple,1
18-0074,50,96.62,44,0,3,0,888,drupe,purple,1
18-0089,386,98.18,27,0,1,0,1032,drupe,purple,1
18-0103,293,97.92,18,9,0,1,1200,drupe,purple,1
18-0104,23,97.14,26,9,0,1,192,drupe,purple,1
18-0105,84,96.62,20,0,1,5,840,drupe,purple,1
18-0106,141,92.72,27,8,2,4,528,drupe,purple,1
18-0113,155,98.44,35,6,2,1,528,drupe,purple,1
18-0131,160,97.92,31,2,0,7,528,drupe,purple,1
18-0136,75,96.36,22,2,0,5,528,drupe,purple,1
18-0247,70,99.22,36,0,2,0,1200,drupe,purple,1
18-0248,125,98.7,40,0,3,0,720,drupe,purple,1
