ind,Turdus_chiguanco,Turdus_amaurochalinus,Turdus_rufiventris,Mimus_saturninus,Piranga_flava,Pipraidea_bonariensis,Saltator_aurantiirostris,Patagioenas_maculosa,Colaptes_melanochloros,Myiopsitta_monachus
16,0.08571428571428572,0,0,0,0,0,0.010714285714285714,0,0.16071428571428573,0
17,0,0,0.03214285714285714,0,0,0,0,0.02142857142857143,0,0
18,0,0,0,0,0,0,0,0.04285714285714286,0,0.04285714285714286
19,0.010714285714285714,0,0.010714285714285714,0,0,0,0,0,0,0
20,0.03214285714285714,0,0,0,0,0,0,0,0,0.02142857142857143
21,0,0,0,0,0,0,0,0,0,0
22,0,0.017857142857142856,0,0,0,0.014285714285714285,0,0,0.007142857142857143,0
23,0,0,0,0,0,0,0.014285714285714285,0,0,0
24,0.05357142857142857,0,0,0,0,0,0,0,0,0.04285714285714286
25,0.03214285714285714,0,0.007142857142857143,0,0,0,0.025,0,0.05357142857142857,0
26,0.010714285714285714,0,0,0,0,0,0,0,0,0
27,0.007142857142857143,0,0,0,0,0.014285714285714285,0.02142857142857143,0.02857142857142857,0,0
28,0.02857142857142857,0.017857142857142856,0,0,0,0,0,0,0,0
29,0,0.007142857142857143,0,0,0.007142857142857143,0,0,0,0,0
30,0.05714285714285714,0.039285714285714285,0,0.02142857142857143,0,0,0,0,0,0
